name|type_id|address|district_id|latitude|longitude|no_telp|email|url|kdppk
RS Siloam Hospital Purwakarta|1|Jl. Bungursari No.1, Purwakarta|1|-6.4889044|107.4773063|02648628900|cs.shpw@siloamhospitals.com|siloamhospitals.com|0130R005
RS Umum Radjak Purwakarta|1|Jalan Raya Bungursari No.36, Cibening, Kec. Bungursari, Kabupaten Purwakarta|1|-6.4995832|107.4709664|02648222222|it.pwk@radjakhospitals.com|radjakhospital.com/group/unit/purwakarta|0130R006
RS Umum Rama Hadi|1|Jl.Raya Sadang - Subang RT 17/04 Desa Ciwangi Kec. Bungursari Kab. Purwakarta|1|-6.5132435|107.4745985|0264202136|rsramahadi@yahoo.co.id|rsramahadi.com|0130R007
RS Umum Asri Purwakarta|1|Jl. Veteran No.15, Nagri Kaler|2|-6.5146924|107.4546918|0264211680|contact@rsuasripurwakarta.com|rsuasripurwakarta.com|0130R008
RS Umum Amira|1|Jl. Ipik Gandamanah, RT.35/RW.03, Munjuljaya, Kec. Purwakarta|3|-6.5283274|107.4575883|02648221191|rsamira.pwk@gmail.com|rsuamira.com|0130R009
RS Ibu dan Anak Dian|1|Jl. Raya Cibogo Hilir, Kp. Sukasari, Cibogohilir, Plered|4|-6.6538813|107.3896921|02648316669|rsiadianplered@gmail.com|instagram.com/rsiadianplered|0130R010
RS Umum Bhakti Husada II Purwakarta|1|Jl. Raya Sadang-Subang KM 5 RT 01/01 Cikumpay Campaka Purwakarta|5|-6.5047018|107.4910729|02648225344|rsbh2purwakarta@gmail.com|purwakarta.rsbh.co.id|0130R011
RS Umum Karina Medika|1|JL Baru Kp. Krajan RT 31 RW 09 Desa Maracang, Babakancikao|2|-6.5319309|107.4394334|02648301768|rskarinamedika@yahoo.com|rskarinamedika.com|0130R012
RS Umum Holistic Purwakarta|1|Jl. Terusan Kapten Halim KM.09 Salamulya, Pondoksalam, Purwakarta|6|-6.6159075|107.4952238|02648223434|rsu@holistic.co.id|holisticindonesia.com|0130R013
RS Ibu dan Anak Bunda Fathia|1|Jl. Ibrahim Singadilaga No. 95-97 Purwamekar, Kecamatan Purwakarta, Kabupaten Purwakarta, Jawa Barat|3|-6.5412895|107.4385194|02648309596|rsiabundaf19@gmail.com|instagram.com/rsiabundafathia/|0130R014
RS Umum Daerah Bayu Asih|1|Jl. Veteran No. 39 Purwakarta|3|-6.5381854|107.4435407|0264200100|rsud.bayuasih@gmail.com|rsba.or.id|1013R001
Puskesmas Purwakarta|2|Jl. Siliwangi no. 4 Purwakarta, Kec. Purwakarta|3|-6.5598573|107.4455216|0264209348|puskesmas.dtp.purwakarta@gmail.com|instagram.com/puskesmas_purwakarta|10130101
Puskesmas Munjuljaya|2|Jl. Ipik Gandamanah No. 164, Kec. Purwakarta|3|-6.5373037|107.4535664|081909535739|munjul164@gmail.com|instagram.com/puskesmas_munjuljaya|10130103
Puskesmas Koncara|2|Jl. Ibrahim Singadilaga No. 60, Kec. Purwakarta|3|-6.5414463|107.4411415|081311212633|pkmkoncara@gmail.com|instagram.com/puskesmaskoncara/|01300001
Puskesmas Maracang|2|Jl. Raya Industri No. 289, Kec. Babakancikao|2|-6.5242291|107.4352901|08129817098|pkmmaracang129@gmail.com|instagram.com/puskesmas_maracang22/|10131201
Puskesmas Jatiluhur|2|Jl. Ir H. Juanda No. 73, Kec. Jatiluhur|7|-6.5394406|107.4198696|081212973253|faskesjatiluhur@gmail.com|instagram.com/uptdpuskesmasjatiluhur/|10130301
